Matricula;Item remuneratorio;Descricao;Qte Referencia;Vr Provento;Vr Desconto
10001;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10001;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10001;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10001;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10001;655;DESC EMP CEF I           ;               ;      0.00;    273.74                                                                                                                   
10001;661;DESC EMP PANAME          ;               ;      0.00;    150.00                                                                                                                   
10002;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10002;25;ADIC TEMPO SERV          ;               ;    145.00;      0.00                                                                                                                   
10004;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10004;25;ADIC TEMPO SERV          ;               ;    253.75;      0.00                                                                                                                   
10004;655;DESC EMP CEF I           ;               ;      0.00;    165.04                                                                                                                   
10005;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10005;25;ADIC TEMPO SERV          ;               ;    217.50;      0.00                                                                                                                   
10007;3;PROVENTO                 ;               ;   1697.37;      0.00                                                                                                                   
10007;25;ADIC TEMPO SERV          ;               ;    424.34;      0.00                                                                                                                   
10007;60;GRAT REG CLASSE          ;               ;    339.47;      0.00                                                                                                                   
10007;415;1/3 SAL APOSENT          ;               ;    565.79;      0.00                                                                                                                   
10007;655;DESC EMP CEF I           ;               ;      0.00;    601.61                                                                                                                   
10009;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10009;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
10009;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10009;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10010;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10010;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
10010;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10010;655;DESC EMP CEF I           ;               ;      0.00;    269.10                                                                                                                   
10011;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10011;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
10011;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10011;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10013;3;PROVENTO                 ;               ;    848.68;      0.00                                                                                                                   
10013;25;ADIC TEMPO SERV          ;               ;    229.14;      0.00                                                                                                                   
10013;60;GRAT REG CLASSE          ;               ;    169.73;      0.00                                                                                                                   
10013;415;1/3 SAL APOSENT          ;               ;    282.89;      0.00                                                                                                                   
10017;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10017;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
10017;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10017;655;DESC EMP CEF I           ;               ;      0.00;    219.97                                                                                                                   
10017;656;DESC EMP CEF II          ;               ;      0.00;     36.15                                                                                                                   
10017;657;DESC EMP CEF II          ;               ;      0.00;    116.24                                                                                                                   
10018;3;PROVENTO                 ;               ;    750.00;      0.00                                                                                                                   
10018;655;DESC EMP CEF I           ;               ;      0.00;    185.17                                                                                                                   
10019;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10019;25;ADIC TEMPO SERV          ;               ;    181.25;      0.00                                                                                                                   
10019;60;GRAT REG CLASSE          ;               ;    145.00;      0.00                                                                                                                   
10019;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10020;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10020;25;ADIC TEMPO SERV          ;               ;    108.75;      0.00                                                                                                                   
10021;3;PROVENTO                 ;               ;    725.00;      0.00                                                                                                                   
10021;25;ADIC TEMPO SERV          ;               ;    188.50;      0.00                                                                                                                   
10021;415;1/3 SAL APOSENT          ;               ;    241.66;      0.00                                                                                                                   
10021;655;DESC EMP CEF I           ;               ;      0.00;    165.26                                                                                                                   
